"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Spread","toy_2_6.dzn","Chuffed",1200000,2,"LB","True","100","True","100","2","3","40","4","4","2","0","3","False"
"toy.mzn","Gini","toy_30_30.dzn","Chuffed",1200000,30,"LB-TL","True","4099","False","1200152","32274715","194","329518907","4","344","32274715","66773783","193","False"
"toy.mzn","Spread","toy_25_27.dzn","Chuffed",1200000,25,"LB","True","4466712","False","1199950","70348601","2473","657294728","4","1050","70348601","70997073","2472","False"
"toy.mzn","Gini","toy_11_14.dzn","Chuffed",1200000,11,"LB","True","3473","False","1199927","122438599","243","534118093","4","79","122438599","3689563","242","False"
"toy.mzn","Gini","toy_17_17.dzn","Chuffed",1200000,17,"Simp","True","1200","False","1199922","78178227","54","342721278","4","360","78178227","6614205","53","False"
"toy.mzn","Gini","toy_4_8.dzn","Chuffed",1200000,4,"LB-TL","True","0","True","90","21","13","576","4","15","21","30","13","False"
"toy.mzn","Gini","toy_30_33.dzn","Chuffed",1200000,30,"Simp","True","1664","False","1199955","4625779","64","2712160563","4","2152","4625779","1344481425","63","False"
"toy.mzn","Gini","toy_21_21.dzn","Chuffed",1200000,21,"Simp","True","1624","False","1199943","81603293","16","361639477","4","304","81603293","7832003","15","False"
"toy.mzn","Spread","toy_33_34.dzn","Chuffed",1200000,33,"LB-TL","True","19569094","False","1199944","47131730","3683","563409188","4","32901","47131730","229758659","3682","False"
"toy.mzn","Spread","toy_33_34.dzn","Chuffed",1200000,33,"Simp","True","21127763","False","1199952","3715518","58","2978665509","4","2122","3715518","1480025744","57","False"
"toy.mzn","Spread","toy_36_38.dzn","Chuffed",1200000,36,"LB-TL","True","31343227","False","1199943","65071030","413","425893448","4","469","65071030","21924219","412","False"
"toy.mzn","Gini","toy_6_10.dzn","Chuffed",1200000,6,"LB","True","870","True","160","3137","190","40864","4","23","3137","7877","189","False"
"toy.mzn","Gini","toy_6_7.dzn","Chuffed",1200000,6,"LB-TL","True","1412","True","130","4189","75","34614","4","28","4189","5603","74","False"
"toy.mzn","Gini","toy_20_20.dzn","Chuffed",1200000,20,"LB-TL","True","4037","False","1199940","93990220","303","532150213","4","181","93990220","40306536","302","False"
"toy.mzn","Gini","toy_9_9.dzn","Chuffed",1200000,9,"LB","True","1039","True","550","38051","481","232186","4","47","38051","7444","480","False"
"toy.mzn","Spread","toy_17_17.dzn","Chuffed",1200000,17,"LB-TL","True","1590640","False","1199941","141819603","1180","849738953","4","132","141819603","52378261","1179","False"
"toy.mzn","Gini","toy_30_30.dzn","Chuffed",1200000,30,"LB","True","4098","False","1199957","32126222","195","327887921","4","348","32126222","66408067","194","False"
"toy.mzn","Spread","toy_24_24.dzn","Chuffed",1200000,24,"LB-TL","True","6132349","False","1199947","101260382","1368","583506382","4","317","101260382","21348653","1367","False"
"toy.mzn","Spread","toy_9_10.dzn","Chuffed",1200000,9,"LB-TL","True","28720","True","970","23699","1387","337294","4","67","23699","25239","1386","False"
"toy.mzn","Spread","toy_9_12.dzn","Chuffed",1200000,9,"LB-TL","True","82550","False","1199931","143354226","809","764649605","4","88","143354226","40214155","808","False"
"toy.mzn","Gini","toy_14_16.dzn","Chuffed",1200000,14,"LB","True","3382","False","1199933","107663244","171","556814021","4","94","107663244","3654705","170","False"
"toy.mzn","Spread","toy_4_4.dzn","Chuffed",1200000,4,"LB","True","4818","True","120","142","65","2552","4","11","142","43","65","False"
"toy.mzn","Gini","toy_12_14.dzn","Chuffed",1200000,12,"Simp","True","1682","False","13150","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","127","False"
"toy.mzn","Gini","toy_38_41.dzn","Chuffed",1200000,38,"LB","True","4733","False","1199947","46987974","127","252375511","4","516","46987974","9869075","126","False"
"toy.mzn","Gini","toy_12_16.dzn","Chuffed",1200000,12,"LB-TL","True","1395","False","1199933","68960098","1006","365768917","4","147","68960098","7151421","1005","False"
"toy.mzn","Spread","toy_38_42.dzn","Chuffed",1200000,38,"LB","True","44817798","False","1199949","57910999","2143","583376508","4","836","57910999","62919187","2142","False"
"toy.mzn","Spread","toy_40_40.dzn","Chuffed",1200000,40,"Simp","True","46168917","False","1199944","2508034","20","2461338856","4","3140","2508034","1224388852","19","False"
"toy.mzn","Spread","toy_19_21.dzn","Chuffed",1200000,19,"LB-TL","True","2106147","False","1199996","105875837","445","602199562","4","228","105875837","14874313","444","False"
"toy.mzn","Spread","toy_24_26.dzn","Chuffed",1200000,24,"LB","True","10022691","False","1199943","97515612","369","641677867","4","169","97515612","39139785","368","False"
