"mzn","dzn","solver","timeout","nJ","nM","nA","mode","case","learning","UTIL","disp","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"Spread","ta46_3a_alloc1.dzn","Chuffed",1200000,30,20,3,"LB","mindis","TRUE","11684","38","38","TRUE","964400","211870","24","341733551","3052","603","211870","170965","23","FALSE"
"Gini","ta72_9a_alloc2.dzn","Chuffed",1200000,100,20,9,"LB-TL","mindis","TRUE","35358","1003","1003","FALSE","16580","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","15","FALSE"
"Gini","ta71_10a_alloc1.dzn","Chuffed",1200000,100,20,10,"LB","maxeff","TRUE","41330","1880","-41330","FALSE","26790","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","131","FALSE"
"Gini","ta78_8a_alloc2.dzn","Chuffed",1200000,100,20,8,"LB-TL","mindis","TRUE","35115","1719","1719","FALSE","14010","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","13","FALSE"
"Gini","ta74_7a_alloc2.dzn","Chuffed",1200000,100,20,7,"LB-TL","maxeff","TRUE","44119","1712","-44119","FALSE","25100","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","120","FALSE"
"Gini","ta58_3a_alloc1.dzn","Chuffed",1200000,50,15,3,"Simp","maxeff","TRUE","15711","1127","-15711","FALSE","1199508","231972","65","244392838","3821","763","231972","188686","64","FALSE"
"Gini","ta52_4a_alloc3.dzn","Chuffed",1200000,50,15,4,"Simp","mindis","TRUE","15210","505","505","FALSE","1199471","309475","11","239441780","3809","762","309475","142975","10","FALSE"
"Spread","ta36_2a_alloc1.dzn","Chuffed",1200000,30,15,2,"LB","mindis","TRUE","9981","0","0","TRUE","16300","8863","5","7975700","2297","453","8863","23835","4","FALSE"
"Spread","ta61_4a_alloc2.dzn","Chuffed",1200000,50,20,4,"Simp","maxeff","TRUE","18212","975211","-18212","FALSE","1199349","164730","61","265267549","5060","1014","164730","136407","60","FALSE"
"Spread","ta35_3a_alloc2.dzn","Chuffed",1200000,30,15,3,"LB-TL","mindis","TRUE","9943","144","144","FALSE","1199668","265092","14","305310834","2293","468","265092","172742","13","FALSE"
"Gini","ta73_6a_alloc3.dzn","Chuffed",1200000,100,20,6,"LB","maxeff","TRUE","43374","1821","-43374","FALSE","23310","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","126","FALSE"
"Spread","ta78_6a_alloc1.dzn","Chuffed",1200000,100,20,6,"Simp","mindis","TRUE","35111","2690538","2690538","FALSE","10110","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","11","FALSE"
"Gini","ta34_2a_alloc1.dzn","Chuffed",1200000,30,15,2,"LB-TL","mindis","TRUE","9265","4","4","FALSE","1199653","285107","11","294436125","2297","457","285107","133817","10","FALSE"
"Gini","ta69_3a_alloc1.dzn","Chuffed",1200000,50,20,3,"Simp","maxeff","TRUE","19765","780","-19765","FALSE","1199303","122335","53","228501246","5066","1015","122335","98071","52","FALSE"
"Gini","ta63_4a_alloc3.dzn","Chuffed",1200000,50,20,4,"LB","mindis","TRUE","19490","151","151","FALSE","1199304","204470","14","274445374","5068","1003","204470","290082","13","FALSE"
"Spread","ta35_2a_alloc3.dzn","Chuffed",1200000,30,15,2,"LB-TL","maxeff","TRUE","11123","299756","-11123","FALSE","1199656","214309","50","353929965","2293","496","214309","135616","49","FALSE"
"Spread","ta78_6a_alloc1.dzn","Chuffed",1200000,100,20,6,"LB-TL","maxeff","TRUE","20255","2055690","-20255","FALSE","15260","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","68","FALSE"
"Spread","ta76_7a_alloc1.dzn","Chuffed",1200000,100,20,7,"LB","maxeff","TRUE","32229","1414195","-32229","FALSE","34600","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","150","FALSE"
"Gini","ta41_3a_alloc1.dzn","Chuffed",1200000,30,20,3,"Simp","maxeff","TRUE","11817","904","-11817","FALSE","1199556","234730","31","505290392","3054","605","234730","126689","30","FALSE"
"Gini","ta60_4a_alloc1.dzn","Chuffed",1200000,50,15,4,"LB-TL","mindis","TRUE","13481","1264","1264","FALSE","1199466","249113","15","262842406","3817","764","249113","175024","14","FALSE"
"Spread","ta40_3a_alloc2.dzn","Chuffed",1200000,30,15,3,"LB","maxeff","TRUE","9485","169156","-9485","FALSE","1199651","267088","33","324670770","2293","456","267088","201895","32","FALSE"
"Gini","ta66_3a_alloc1.dzn","Chuffed",1200000,50,20,3,"LB-TL","mindis","TRUE","17167","303","303","FALSE","1199303","149119","10","235784767","5058","1013","149119","145658","9","FALSE"
"Spread","ta78_9a_alloc1.dzn","Chuffed",1200000,100,20,9,"LB","mindis","TRUE","35118","1348541","1348541","FALSE","15190","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","TIMEOUT/ERROR","16","FALSE"
